T(K),T(°K),K(W/m-k)
840.0813066,602.9313066,0.551556522
832.9755367,595.8255367,0.55025904
825.8697668,588.7197668,0.548961558
818.7618572,581.6118572,0.54751915
811.0676842,573.9176842,0.546367164
804.5481777,567.3981777,0.54477926
797.4445475,560.2945475,0.543626703
790.9293203,553.7793203,0.54232865
783.8214107,546.6714107,0.540886242
776.7156408,539.5656408,0.53958876
769.0150489,531.8650489,0.538001997
762.4998217,525.3498217,0.536703944
754.8013694,517.6513694,0.535262107
748.2861422,511.1361422,0.533964054
741.1803723,504.0303723,0.532666572
734.6651451,497.5151451,0.531368519
726.9666928,489.8166928,0.529926681
719.8609229,482.7109229,0.528629199
712.755153,475.605153,0.527331717
705.6472434,468.4972434,0.525889309
699.1298766,461.9798766,0.524446331
691.4314243,454.2814243,0.523004493
684.9183368,447.7683368,0.521851366
678.40097,441.25097,0.520408387
670.7025177,433.5525177,0.51896655
663.5946081,426.4446081,0.517524142
656.4888382,419.3388382,0.51622666
649.3830683,412.2330683,0.514929178
642.2751587,405.1251587,0.51348677
635.1672491,398.0172491,0.512044362
628.652022,391.502022,0.510746309
621.5462521,384.3962521,0.509448827
614.4383425,377.2883425,0.508006419
607.3304329,370.1804329,0.506564011
599.6319806,362.4819806,0.505122174
593.7072962,356.5572962,0.50382355
586.0109835,348.8609835,0.502526639
578.9052136,341.7552136,0.501229156
572.9805292,335.8305292,0.499930533
565.87048,328.72048,0.498343199
