Flux intensity plot (units kW/m2),,,,,,,,,,,,,,,,,,,,,,,,,
Max. flux,1018.603591,kW/m2,,,,,,,,,,,,,,,,,,,,,,,
Min. flux,68.332168,kW/m2,,,,,,,,,,,,,,,,,,,,,,,
Ave. flux,612.092593,kW/m2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Receiver circumferential position (0=North; +East) [deg] -->,,,,,,,,,,,,,,,,,,,,,,,,
Receiver vertical position [m],180,165.6,151.2,136.8,122.4,108,93.6,79.2,64.8,50.4,36,21.6,7.2,-7.2,-21.6,-36,-50.4,-64.8,-79.2,-93.6,-108,-122.4,-136.8,-151.2,-165.6
21.1,83.750776,89.696711,95.04849,102.884067,114.111869,126.188908,142.449959,164.423254,181.820636,191.96993,201.900484,201.986635,205.421111,201.628833,200.37581,191.078983,178.548622,155.743156,136.164853,126.166603,115.07292,103.755039,96.914758,92.186912,84.086535
20.2,150.334901,160.983616,173.723087,189.404421,211.438491,232.962347,262.861092,304.358633,336.042903,353.235172,369.958781,363.811122,370.749697,364.666138,366.636499,351.348603,329.612106,285.301895,249.312371,232.344907,211.218358,189.572357,175.422253,164.279381,151.750293
19.4,238.299706,254.534715,278.07194,305.677652,344.503373,380.014246,426.36952,489.537701,537.904577,565.229443,591.227516,577.033738,588.897032,580.851659,585.405885,561.919198,529.26573,460.753035,406.87814,378.707856,341.689617,304.750826,279.023521,258.365022,241.672003
18.5,333.573877,354.742569,388.967615,429.904396,486.687214,537.275954,595.848324,672.163382,732.334789,769.756,805.014198,786.808814,803.179678,794.079756,796.928399,764.967069,724.240528,641.41367,577.430515,535.570798,480.868077,428.140888,389.220199,359.026284,339.367817
17.6,417.142101,441.297579,481.882539,533.1769,600.617973,661.710867,723.292862,799.247334,862.505893,906.153841,947.271733,933.337932,951.563532,942.093701,938.255323,900.296505,856.99429,775.944498,713.844347,660.108626,593.307835,531.6242,482.430436,446.335678,425.045492
16.8,474.100157,498.828979,539.756661,595.649163,661.786147,726.272785,783.311044,850.283461,910.85985,955.864908,997.730595,994.744129,1011.505473,1001.77181,989.479626,949.424423,907.486905,838.511598,784.753351,724.661829,655.492586,595.570987,541.897438,505.059374,483.28552
15.9,499.779743,523.089209,560.17696,615.486915,672.357348,736.710348,787.464812,844.770297,902.327925,946.060696,984.602573,993.82528,1007.354086,996.817461,978.490641,938.952333,899.220585,842.719608,794.177823,733.53079,668.63345,617.478599,564.416244,530.698528,509.458207
15.1,500.335372,521.586071,554.70284,606.989436,655.324373,721.845422,768.797822,818.564098,874.756718,917.393933,950.849986,970.011253,980.701713,968.182919,947.940396,908.542413,870.890239,823.641258,773.094466,714.725428,653.944654,610.478157,560.136679,530.365878,510.095057
14.2,487.940814,508.315339,541.198728,590.86891,636.486117,708.797153,754.918226,798.422565,853.843327,896.659434,924.783521,951.667157,960.976145,945.040106,925.820012,884.558405,849.468871,809.543353,753.420782,696.839104,636.229829,594.147588,545.810299,517.811232,497.855989
