T(°C),mu (Pa-s)
292.3311715,0.003476249
298.6073222,0.003318422
306.1387029,0.003160543
313.6700837,0.003002663
319.9462343,0.002863744
327.4776151,0.002731075
334.3813808,0.002604734
340.6575314,0.002472118
348.1889121,0.002377263
355.0926778,0.002269831
362.6240586,0.002181279
369.5278243,0.002086451
376.43159,0.002010531
383.9629707,0.001934584
390.8667364,0.001871269
397.7705021,0.001801651
404.0466527,0.001750967
411.5780335,0.00170023
418.4817992,0.001655823
426.0131799,0.001598783
432.2893305,0.001554402
439.8207113,0.001528876
446.724477,0.00149077
454.2558577,0.001452639
460.5320084,0.001433468
467.4357741,0.001407967
475.5947699,0.001382414
481.8709205,0.001363243
488.7746862,0.001344046
496.3060669,0.001324822
503.2098326,0.001305624
510.7412134,0.001292702
517.017364,0.001273531
523.9211297,0.001254334
531.4525105,0.001241412
538.3562762,0.001222214
545.2600418,0.001196714
552.7914226,0.00117749
559.6951883,0.001158293
565.9713389,0.001132819
